//X Y Z Point_Source_ID User_Data Scan_Angle_Rank Number_of_Returns Return_Number Time Intensity Classification
223031.50000000 536559.63999939 35.54999924 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.776575 37.000000 6.000000
223031.58000183 536559.88000107 35.90999985 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.782711 27.000000 6.000000
223030.97000122 536560.11999893 35.56000137 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.782716 60.000000 6.000000
223031.91000366 536560.09000015 35.18999863 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.788844 222.000000 6.000000
223031.66000366 536560.16999817 36.11999893 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.788847 138.000000 6.000000
223031.36999512 536560.29000092 36.45000076 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.788849 187.000000 6.000000
223031.03999329 536560.41999817 35.31000137 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.788852 33.000000 6.000000
223030.47000122 536560.65000153 35.38000107 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.788857 186.000000 6.000000
223031.96000671 536560.38000107 35.13999939 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.794980 322.000000 6.000000
223031.71000671 536560.47000122 36.40000153 162.000000 2.000000 -2.000000 3.000000 1.000000 143024621.794983 63.000000 6.000000
223031.66999817 536560.50000000 35.11000061 162.000000 2.000000 -2.000000 3.000000 2.000000 143024621.794983 88.000000 6.000000
223031.41999817 536560.58000183 36.41999817 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.794985 48.000000 6.000000
223031.38000488 536560.61000061 35.13999939 162.000000 2.000000 -2.000000 2.000000 2.000000 143024621.794985 440.000000 6.000000
223031.07000732 536560.72999954 35.11000061 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.794988 611.000000 6.000000
223030.80000305 536560.83000183 35.11000061 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.794990 441.000000 6.000000
223030.50000000 536560.95000076 35.15000153 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.794993 256.000000 6.000000
223032.30000305 536560.52999878 34.88999939 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.801113 45.000000 6.000000
223032.07000732 536560.61000061 36.18999863 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.801116 161.000000 6.000000
223031.77000427 536560.72999954 35.45999908 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.801118 37.000000 6.000000
223031.47999573 536560.84000015 35.75999832 162.000000 2.000000 -2.000000 3.000000 1.000000 143024621.801121 58.000000 6.000000
223031.46000671 536560.84999847 35.16999817 162.000000 2.000000 -2.000000 3.000000 2.000000 143024621.801121 40.000000 6.000000
223031.19999695 536560.95000076 36.38999939 162.000000 2.000000 -2.000000 3.000000 1.000000 143024621.801124 134.000000 6.000000
223031.16999817 536560.95999908 35.54000092 162.000000 2.000000 -2.000000 3.000000 2.000000 143024621.801124 268.000000 6.000000
223030.88999939 536561.08000183 35.02999878 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.801126 515.000000 6.000000
223030.58999634 536561.18999863 35.34000015 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.801129 21.000000 6.000000
223032.44000244 536560.75000000 36.43999863 162.000000 2.000000 -2.000000 3.000000 1.000000 143024621.807249 15.000000 6.000000
223032.38999939 536560.79000092 34.79999924 162.000000 2.000000 -2.000000 3.000000 2.000000 143024621.807249 297.000000 6.000000
223032.16000366 536560.86000061 36.13000107 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.807252 249.000000 6.000000
223031.86999512 536560.97999954 36.08000183 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.807254 458.000000 6.000000
223031.57000732 536561.09000015 35.86000061 162.000000 2.000000 -2.000000 3.000000 1.000000 143024621.807257 15.000000 6.000000
223031.53999329 536561.11999893 34.86999893 162.000000 2.000000 -2.000000 3.000000 2.000000 143024621.807257 37.000000 6.000000
223031.27999878 536561.20999908 36.02999878 162.000000 2.000000 -2.000000 3.000000 1.000000 143024621.807260 225.000000 6.000000
223031.27999878 536561.20999908 36.02999878 162.000000 2.000000 -2.000000 3.000000 2.000000 143024621.807260 225.000000 6.000000
223031.02000427 536561.31000137 36.34999847 162.000000 2.000000 -2.000000 3.000000 1.000000 143024621.807262 42.000000 6.000000
223030.97000122 536561.34000015 34.88999939 162.000000 2.000000 -2.000000 3.000000 2.000000 143024621.807262 105.000000 6.000000
223032.50999451 536561.04999924 36.40000153 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.813385 334.000000 6.000000
223032.22999573 536561.15999985 36.25000000 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.813387 309.000000 6.000000
223032.19000244 536561.18999863 35.15999985 162.000000 2.000000 -2.000000 2.000000 2.000000 143024621.813387 132.000000 6.000000
223031.96000671 536561.25999832 36.47000122 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.813390 296.000000 6.000000
223031.91999817 536561.29000092 35.18000031 162.000000 2.000000 -2.000000 2.000000 2.000000 143024621.813390 90.000000 6.000000
223031.66000366 536561.38000107 36.49000168 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.813393 564.000000 6.000000
223031.36999512 536561.50000000 36.47000122 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.813395 555.000000 6.000000
223031.08000183 536561.61000061 36.40999985 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.813398 500.000000 6.000000
223032.58000183 536561.33000183 36.25000000 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.819521 463.000000 6.000000
223032.30000305 536561.45000076 36.22999954 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.819523 396.000000 6.000000
223032.02000427 536561.56000137 35.86999893 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.819526 360.000000 6.000000
223031.72000122 536561.66999817 36.06000137 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.819528 373.000000 6.000000
223031.42999268 536561.79000092 36.15000153 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.819531 240.000000 6.000000
223031.39999390 536561.79999924 35.38000107 162.000000 2.000000 -2.000000 2.000000 2.000000 143024621.819531 105.000000 6.000000
223031.14999390 536561.88999939 36.34999847 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.819534 454.000000 6.000000
223032.86999512 536561.54000092 34.18000031 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.825654 78.000000 6.000000
223032.66000366 536561.61000061 35.99000168 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.825657 380.000000 6.000000
223032.36999512 536561.72999954 35.79999924 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.825659 359.000000 6.000000
223032.10000610 536561.83000183 35.77999878 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.825662 451.000000 6.000000
223031.80000305 536561.95000076 35.84000015 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.825664 477.000000 6.000000
223031.50000000 536562.06000137 35.90999985 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.825667 522.000000 6.000000
223031.22999573 536562.16999817 36.20999908 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.825669 526.000000 6.000000
223032.97999573 536561.77999878 34.02999878 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.831790 155.000000 6.000000
223032.74000549 536561.86000061 35.54000092 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.831792 455.000000 6.000000
223032.47000122 536561.95999908 35.54000092 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.831795 458.000000 6.000000
223032.19999695 536562.06999969 35.90999985 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.831797 486.000000 6.000000
223031.89999390 536562.18999863 35.66999817 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.831800 322.000000 6.000000
223031.60000610 536562.29999924 35.88999939 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.831803 532.000000 6.000000
223031.33999634 536562.40000153 36.04999924 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.831805 541.000000 6.000000
223033.30999756 536561.95999908 33.58000183 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.837923 132.000000 6.000000
223033.08999634 536562.02999878 35.74000168 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.837926 246.000000 6.000000
223033.03999329 536562.06000137 34.25000000 162.000000 2.000000 -2.000000 2.000000 2.000000 143024621.837926 70.000000 6.000000
223032.80000305 536562.13999939 35.56999969 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.837928 549.000000 6.000000
223032.52999878 536562.24000168 35.74000168 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.837931 590.000000 6.000000
223032.24000549 536562.36000061 35.47999954 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.837933 419.000000 6.000000
223031.94999695 536562.47999954 35.49000168 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.837936 465.000000 6.000000
223031.64999390 536562.59000015 35.65999985 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.837939 126.000000 6.000000
223031.58999634 536562.63000107 34.00999832 162.000000 2.000000 -2.000000 2.000000 2.000000 143024621.837939 197.000000 6.000000
223031.38999939 536562.68999863 35.86999893 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.837941 16.000000 6.000000
223033.67999268 536562.13999939 33.11999893 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.844056 212.000000 6.000000
223033.39999390 536562.25000000 33.40999985 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.844059 238.000000 6.000000
