//X Y Z Point_Source_ID Scan_Angle_Rank Flightline_Edge Number_of_Returns Return_Number Time Intensity Classification
236463.78002930 548273.91999817 15.71000004 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.553864 157.000000 2.000000
236463.97998047 548273.65000153 15.80000019 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.553866 174.000000 2.000000
236463.33001709 548274.13999939 15.69999981 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.559780 196.000000 2.000000
236463.53002930 548273.83999634 15.73999977 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.559783 135.000000 2.000000
236463.73999023 548273.55999756 15.96000004 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.559785 234.000000 1.000000
236463.92999268 548273.26999664 15.81999969 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.559788 172.000000 2.000000
236463.02001953 548273.95999908 15.72000027 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.565698 110.000000 2.000000
236463.23999023 548273.66999817 15.92000008 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.565701 179.000000 1.000000
236463.45001221 548273.38999939 16.18000031 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.565704 181.000000 1.000000
236463.64001465 548273.09999847 16.10000038 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.565707 190.000000 1.000000
236463.82000732 548272.81999969 15.84000015 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.565709 163.000000 2.000000
236462.67999268 548273.80000305 15.86999989 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.571617 185.000000 1.000000
236462.90997314 548273.50000000 16.13999939 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.571620 180.000000 1.000000
236463.10998535 548273.23000336 16.39999962 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.571622 188.000000 1.000000
236463.34002686 548272.93000031 16.65999985 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.571625 230.000000 1.000000
236463.47998047 548272.66000366 16.04999924 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.571627 174.000000 1.000000
236462.40002441 548273.62000275 16.06999969 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.577536 170.000000 1.000000
